window,vault_id,min,percentile25,percentile50,percentile75,max,count,latency,throughput
1719670730000,1107,4904.000000,15743.000000,17186.000000,20208.500000,24330.000000,17,2000,393.500000
1719670730000,1108,16016.000000,18066.000000,20652.000000,23383.000000,41681.000000,32,2000,393.500000
1719670730000,1109,4339.000000,16406.500000,18506.000000,21456.250000,24043.000000,29,2000,393.500000
1719670730000,1110,16249.000000,17765.250000,18515.000000,21859.750000,24473.000000,31,2000,393.500000
1719670730000,1111,873.000000,39503.000000,39515.000000,39525.750000,39534.000000,19,2000,393.500000
1719670730000,1112,14753.000000,17291.000000,18390.500000,22721.000000,24659.000000,30,2000,393.500000
1719670730000,1113,269.000000,38555.500000,38565.000000,38577.000000,38597.000000,24,2000,393.500000
1719670730000,1114,16407.000000,17921.250000,19700.000000,21906.500000,23967.000000,17,2000,393.500000
1719670730000,1115,13571.000000,16309.750000,20913.000000,23076.250000,24362.000000,27,2000,393.500000
1719670730000,1116,5476.000000,12737.500000,13682.000000,19041.250000,69412.000000,19,2000,393.500000
1719670730000,1117,1711.000000,17672.750000,20494.000000,22760.500000,23889.000000,23,2000,393.500000
1719670730000,1118,37618.000000,37625.000000,37629.000000,37631.000000,37637.000000,22,2000,393.500000
1719670730000,1119,16577.000000,17492.500000,19010.500000,22511.500000,24646.000000,32,2000,393.500000
1719670730000,1120,221.000000,36108.500000,36115.000000,36120.000000,36127.000000,23,2000,393.500000
1719670732000,1090,18093.000000,49526.000000,49565.000000,49575.500000,50974.000000,27,2001,372.000000
1719670732000,1091,12413.000000,49261.000000,49265.000000,49270.750000,49276.000000,31,2001,372.000000
1719670732000,1092,43857.000000,48979.000000,48983.500000,48988.000000,48992.000000,30,2001,372.000000
1719670732000,1093,13387.000000,48616.500000,48622.000000,48624.750000,48630.000000,15,2001,372.000000
1719670732000,1094,15573.000000,16816.000000,17967.000000,22724.000000,24527.000000,26,2001,372.000000
1719670732000,1095,1738.000000,15930.750000,18777.000000,24089.000000,45542.000000,15,2001,372.000000
1719670732000,1096,45213.000000,47171.750000,47176.000000,47180.500000,54033.000000,41,2001,372.000000
1719670732000,1097,17800.000000,17987.500000,21426.000000,24353.500000,29219.000000,16,2001,372.000000
1719670732000,1098,14973.000000,18382.000000,21303.000000,24462.250000,27002.000000,19,2001,372.000000
1719670732000,1099,13757.000000,15704.500000,18900.500000,22184.500000,25382.000000,24,2001,372.000000
1719670732000,1100,17457.000000,19171.750000,20520.000000,24125.500000,25206.000000,19,2001,372.000000
1719670732000,1101,14281.000000,15558.500000,18147.000000,22265.500000,25200.000000,27,2001,372.000000
1719670732000,1102,14947.000000,19347.500000,22829.000000,23534.250000,25182.000000,21,2001,372.000000
1719670732000,1103,13771.000000,17970.500000,20296.500000,22926.500000,24642.000000,16,2001,372.000000
1719670732000,1104,13440.000000,14717.500000,15918.500000,18122.500000,45146.000000,20,2001,372.000000
1719670732000,1105,16087.000000,17233.750000,18831.000000,20132.250000,24487.000000,23,2001,372.000000
1719670732000,1106,15966.000000,17146.250000,19046.000000,21056.750000,23375.000000,25,2001,372.000000
1719670732000,1107,14963.000000,15597.000000,17508.500000,22384.000000,24331.000000,26,2001,372.000000
1719670732000,1108,15875.000000,17438.500000,18167.000000,21357.000000,23393.000000,16,2001,372.000000
1719670732000,1109,15168.000000,15693.000000,20483.000000,23258.250000,69908.000000,15,2001,372.000000
1719670732000,1110,16240.000000,17079.750000,18761.000000,22365.500000,24446.000000,27,2001,372.000000
1719670732000,1111,4659.000000,39501.250000,39507.000000,39523.750000,39533.000000,23,2001,372.000000
1719670732000,1112,14760.000000,17000.000000,18045.500000,20062.000000,28234.000000,24,2001,372.000000
1719670732000,1113,38541.000000,38563.250000,38569.000000,38581.250000,38597.000000,31,2001,372.000000
1719670732000,1114,16416.000000,17556.000000,18840.000000,21250.000000,23375.000000,29,2001,372.000000
1719670732000,1115,12859.000000,15601.250000,16593.000000,20912.500000,23663.000000,27,2001,372.000000
1719670732000,1116,13420.000000,16056.750000,18497.000000,21852.750000,37761.000000,27,2001,372.000000
1719670732000,1117,16821.000000,18084.250000,20490.000000,21830.000000,24202.000000,33,2001,372.000000
1719670732000,1118,37618.000000,37623.000000,37626.500000,37628.000000,37632.000000,18,2001,372.000000
1719670732000,1119,6567.000000,17775.750000,20486.000000,22816.750000,24647.000000,27,2001,372.000000
1719670732000,1120,36088.000000,36113.000000,36117.500000,36123.000000,42658.000000,26,2001,372.000000
1719670734000,1090,852.000000,45119.750000,49556.000000,49575.250000,49590.000000,29,2000,405.000000
1719670734000,1091,111.000000,49263.500000,49266.500000,49271.500000,55307.000000,28,2000,405.000000
1719670734000,1092,30783.000000,48342.500000,48979.000000,48986.000000,48994.000000,29,2000,405.000000
1719670734000,1093,344.000000,48617.000000,48622.000000,48626.250000,48632.000000,33,2000,405.000000
1719670734000,1094,15570.000000,16810.000000,17849.000000,21644.000000,24527.000000,38,2000,405.000000
1719670734000,1095,15627.000000,16236.000000,18985.500000,22483.000000,25288.000000,22,2000,405.000000
1719670734000,1096,8717.000000,47168.250000,47174.000000,47177.000000,52934.000000,23,2000,405.000000
1719670734000,1097,17608.000000,18853.000000,21556.000000,25378.000000,26259.000000,26,2000,405.000000
1719670734000,1098,5674.000000,17896.750000,18866.000000,22842.250000,23150.000000,23,2000,405.000000
1719670734000,1099,2663.000000,14681.500000,17943.000000,21884.000000,25394.000000,27,2000,405.000000
1719670734000,1100,2455.000000,18672.500000,21362.000000,23856.750000,25206.000000,23,2000,405.000000
1719670734000,1101,482.000000,15499.000000,20325.500000,23894.000000,24703.000000,22,2000,405.000000
1719670734000,1102,14952.000000,15781.000000,19643.500000,23590.000000,25191.000000,20,2000,405.000000
1719670734000,1103,12900.000000,15333.500000,18855.000000,21870.750000,25205.000000,35,2000,405.000000
1719670734000,1104,4811.000000,14223.250000,15760.000000,17493.750000,24506.000000,27,2000,405.000000
1719670734000,1105,13966.000000,17910.000000,19635.000000,23493.500000,27981.000000,32,2000,405.000000
1719670734000,1106,15420.000000,17090.250000,19523.000000,21277.250000,24381.000000,29,2000,405.000000
1719670734000,1107,15926.000000,17508.000000,18515.000000,22818.000000,24330.000000,22,2000,405.000000
1719670734000,1108,15502.000000,17972.250000,21855.000000,23622.750000,41691.000000,25,2000,405.000000
1719670734000,1109,15171.000000,18108.000000,20918.000000,22811.250000,24041.000000,33,2000,405.000000
1719670734000,1110,16238.000000,16822.000000,18036.000000,22363.000000,24021.000000,18,2000,405.000000
1719670734000,1111,1936.000000,39506.000000,39521.000000,39526.500000,39533.000000,20,2000,405.000000
1719670734000,1112,16798.000000,17815.500000,18767.000000,23401.750000,24669.000000,27,2000,405.000000
1719670734000,1113,38537.000000,38562.250000,38569.000000,38589.000000,38600.000000,31,2000,405.000000
1719670734000,1114,16408.000000,17143.500000,18509.500000,21355.500000,23967.000000,28,2000,405.000000
1719670734000,1115,13559.000000,16971.750000,19571.000000,21733.750000,24359.000000,27,2000,405.000000
1719670734000,1116,13680.000000,16730.000000,17662.500000,19050.000000,24218.000000,18,2000,405.000000
1719670734000,1117,141.000000,17776.000000,18348.500000,21521.000000,28057.000000,26,2000,405.000000
1719670734000,1118,1347.000000,37623.500000,37628.000000,37633.000000,37636.000000,28,2000,405.000000
1719670734000,1119,16574.000000,17149.000000,18639.500000,22216.000000,23714.000000,20,2000,405.000000
1719670734000,1120,36093.000000,36112.750000,36115.000000,36120.250000,36125.000000,21,2000,405.000000
1719670736000,1090,1968.000000,49415.750000,49560.000000,49575.750000,49585.000000,15,2000,366.000000
1719670736000,1091,15094.000000,49264.000000,49267.000000,49270.000000,49281.000000,16,2000,366.000000
1719670736000,1092,23519.000000,48976.000000,48981.500000,48988.000000,49184.000000,30,2000,366.000000
1719670736000,1093,6956.000000,48619.000000,48619.500000,48622.000000,48635.000000,26,2000,366.000000
1719670736000,1094,5511.000000,17087.500000,18085.000000,23844.250000,24525.000000,19,2000,366.000000
1719670736000,1095,14658.000000,16779.000000,21549.500000,24222.000000,24971.000000,28,2000,366.000000
1719670736000,1096,3464.000000,47168.500000,47174.000000,47181.500000,54020.000000,21,2000,366.000000
1719670736000,1097,17344.000000,18312.000000,21431.500000,21887.000000,28518.000000,22,2000,366.000000
1719670736000,1098,14966.000000,17131.000000,21251.500000,22488.000000,47632.000000,26,2000,366.000000
1719670736000,1099,1774.000000,15499.500000,16932.000000,22365.000000,28481.000000,28,2000,366.000000
1719670736000,1100,17813.000000,18784.500000,21360.000000,24510.500000,25208.000000,19,2000,366.000000
1719670736000,1101,15066.000000,17891.500000,19261.000000,24694.500000,25208.000000,25,2000,366.000000
1719670736000,1102,14950.000000,17886.000000,21879.500000,24237.000000,25177.000000,22,2000,366.000000
1719670736000,1103,298.000000,14470.000000,18512.500000,21871.000000,25198.000000,34,2000,366.000000
1719670736000,1104,4774.000000,15767.500000,18320.500000,21491.500000,23672.000000,28,2000,366.000000
1719670736000,1105,1966.000000,18151.250000,20794.000000,22935.750000,23969.000000,19,2000,366.000000
1719670736000,1106,15416.000000,17785.000000,21128.000000,23210.500000,49539.000000,28,2000,366.000000
1719670736000,1107,1932.000000,18130.500000,21549.000000,23833.500000,43006.000000,20,2000,366.000000
1719670736000,1108,17126.000000,18163.000000,20648.500000,23012.000000,41682.000000,30,2000,366.000000
1719670736000,1109,15170.000000,16575.500000,18011.500000,21847.000000,52569.000000,24,2000,366.000000
1719670736000,1110,10059.000000,18041.500000,21448.500000,24016.500000,40504.000000,28,2000,366.000000
1719670736000,1111,3009.000000,39496.000000,39507.000000,39527.000000,39534.000000,26,2000,366.000000
1719670736000,1112,14493.000000,16892.500000,18759.500000,22212.500000,24656.000000,20,2000,366.000000
1719670736000,1113,88.000000,38562.000000,38568.500000,38580.000000,38595.000000,30,2000,366.000000
1719670736000,1114,16405.000000,17251.000000,19687.000000,20698.250000,23976.000000,17,2000,366.000000
1719670736000,1115,12852.000000,14886.000000,15397.500000,16919.000000,38132.000000,24,2000,366.000000
1719670736000,1116,12628.000000,16508.000000,19038.500000,21476.000000,49835.000000,32,2000,366.000000
1719670736000,1117,16826.000000,18276.250000,21040.000000,22746.250000,37749.000000,19,2000,366.000000
1719670736000,1118,37620.000000,37622.000000,37627.000000,37630.000000,37632.000000,10,2000,366.000000
1719670736000,1119,16574.000000,17807.250000,18525.000000,22358.750000,36915.000000,25,2000,366.000000
1719670736000,1120,3689.000000,36110.500000,36116.000000,36122.000000,36129.000000,21,2000,366.000000
1719670738000,1090,16801.000000,49552.500000,49571.000000,49578.750000,49586.000000,31,2000,422.000000
1719670738000,1091,7144.000000,49261.000000,49266.000000,49271.750000,69873.000000,39,2000,422.000000
1719670738000,1092,112.000000,48974.000000,48981.000000,48986.000000,49180.000000,28,2000,422.000000
1719670738000,1093,9404.000000,48616.250000,48622.000000,48625.000000,48632.000000,31,2000,422.000000
1719670738000,1094,15572.000000,16807.000000,17970.000000,19702.000000,24499.000000,26,2000,422.000000
1719670738000,1095,5670.000000,16691.250000,18156.000000,21770.500000,29008.000000,27,2000,422.000000
1719670738000,1096,35579.000000,47171.000000,47173.000000,47178.000000,54030.000000,26,2000,422.000000
1719670738000,1097,17348.000000,18530.000000,19682.000000,22248.000000,25555.000000,27,2000,422.000000
1719670738000,1098,14968.000000,17966.000000,21421.500000,22993.500000,25550.000000,28,2000,422.000000
1719670738000,1099,13749.000000,14875.250000,19659.000000,22483.000000,29281.000000,39,2000,422.000000
1719670738000,1100,17802.000000,17992.750000,19129.000000,22470.000000,24723.000000,33,2000,422.000000
1719670738000,1101,14469.000000,16862.000000,20345.000000,22394.500000,25200.000000,32,2000,422.000000
1719670738000,1102,15235.000000,20983.000000,23475.500000,24226.000000,30253.000000,22,2000,422.000000
1719670738000,1103,12902.000000,13776.750000,17679.000000,20677.500000,23974.000000,19,2000,422.000000
1719670738000,1104,13432.000000,14472.000000,17128.000000,23110.250000,24500.000000,25,2000,422.000000
1719670738000,1105,16086.000000,17238.000000,19633.000000,23130.750000,24489.000000,25,2000,422.000000
1719670738000,1106,15419.000000,16480.750000,18301.000000,20799.500000,29298.000000,27,2000,422.000000
1719670738000,1107,14976.000000,16456.000000,18519.500000,23683.000000,36918.000000,24,2000,422.000000
1719670738000,1108,5354.000000,16917.000000,18746.000000,23006.000000,41693.000000,28,2000,422.000000
1719670738000,1109,15478.000000,18491.000000,21167.000000,22453.500000,24040.000000,28,2000,422.000000
1719670738000,1110,16438.000000,17859.000000,20484.000000,22935.250000,38568.000000,27,2000,422.000000
1719670738000,1111,2222.000000,39497.000000,39518.000000,39527.500000,39534.000000,24,2000,422.000000
1719670738000,1112,16359.000000,17324.000000,18696.500000,22717.000000,24671.000000,26,2000,422.000000
1719670738000,1113,17503.000000,38564.500000,38569.000000,38585.250000,38592.000000,29,2000,422.000000
1719670738000,1114,17260.000000,17923.000000,19142.500000,21352.000000,23972.000000,26,2000,422.000000
1719670738000,1115,14446.000000,16571.000000,17118.000000,17554.500000,23659.000000,20,2000,422.000000
1719670738000,1116,5159.000000,15134.500000,16749.000000,19029.000000,21463.000000,23,2000,422.000000
1719670738000,1117,17014.000000,19335.000000,21515.500000,22312.000000,23317.000000,22,2000,422.000000
1719670738000,1118,30907.000000,37623.000000,37626.000000,37629.000000,37637.000000,28,2000,422.000000
1719670738000,1119,2106.000000,17774.000000,20168.500000,22213.000000,24646.000000,26,2000,422.000000
1719670738000,1120,218.000000,36112.000000,36117.500000,36123.500000,36130.000000,28,2000,422.000000
1719670740000,1090,12054.000000,49533.500000,49567.500000,49580.500000,49593.000000,32,1999,400.500000
1719670740000,1091,26971.000000,49262.000000,49268.000000,49274.750000,49299.000000,23,1999,400.500000
1719670740000,1092,43856.000000,48974.000000,48980.000000,48987.000000,49007.000000,22,1999,400.500000
1719670740000,1093,2683.000000,48617.750000,48623.000000,48628.000000,48645.000000,33,1999,400.500000
1719670740000,1094,16026.000000,17014.000000,17877.000000,21046.250000,44735.000000,29,1999,400.500000
1719670740000,1095,16402.000000,17364.250000,19600.000000,22215.750000,25314.000000,21,1999,400.500000
